Time,Susceptible,Infected,Recovered
0,999,1,0
1,998.791,1.10438,0.104612
2,998.56,1.21961,0.220142
3,998.305,1.34679,0.347722
4,998.024,1.48716,0.488604
5,997.714,1.64207,0.644165
6,997.371,1.81299,0.815925
7,996.993,2.00156,1.00556
8,996.576,2.20957,1.2149
9,996.115,2.43898,1.446
10,995.607,2.69196,1.70108
11,995.047,2.97087,1.9826
12,994.428,3.27829,2.29328
13,993.747,3.61707,2.63608
14,992.995,3.99029,3.01428
15,992.167,4.40133,3.43148
16,991.254,4.85388,3.89162
17,990.249,5.35196,4.39903
18,989.142,5.89991,4.95845
19,987.922,6.50248,5.57509
20,986.581,7.16478,6.25462
21,985.104,7.89235,7.00328
22,983.481,8.69115,7.82785
23,981.697,9.56758,8.73573
24,979.736,10.5285,9.73501
25,977.584,11.5813,10.8344
26,975.223,12.7336,12.0436
27,972.634,13.9938,13.3727
28,969.796,15.3705,14.833
29,966.691,16.8727,16.4366
30,963.294,18.5098,18.1964
31,959.582,20.2916,20.1263
32,955.531,22.2279,22.2413
33,951.114,24.3287,24.5572
34,946.305,26.6038,27.091
35,941.077,29.0628,29.8605
36,935.401,31.7149,32.8845
37,929.249,34.5687,36.1827
38,922.593,37.6317,39.7757
39,915.405,40.9102,43.6846
40,907.66,44.4086,47.9312
41,899.333,48.1298,52.5377
42,890.4,52.0739,57.5263
43,880.842,56.2383,62.9193
44,870.645,60.6171,68.7384
45,859.794,65.2009,75.0047
46,848.285,69.9763,81.7382
47,836.117,74.9256,88.9572
48,823.295,80.0266,96.6782
49,809.833,85.2524,104.915
50,795.749,90.5717,113.679
51,781.073,95.9487,122.978
52,765.841,101.344,132.816
53,750.095,106.713,143.192
54,733.887,112.01,154.102
55,717.275,117.188,165.538
56,700.321,122.196,177.483
57,683.095,126.985,189.92
58,665.668,131.507,202.825
59,648.116,135.716,216.168
60,630.514,139.57,229.916
61,612.938,143.03,244.032
62,595.461,146.064,258.475
63,578.153,148.645,273.201
64,561.082,150.753,288.165
65,544.309,152.374,303.317
66,527.889,153.502,318.609
67,511.871,154.137,333.992
68,496.298,154.286,349.416
69,481.205,153.961,364.834
70,466.621,153.18,380.199
71,452.567,151.967,395.466
72,439.06,150.347,410.593
73,426.109,148.35,425.541
74,413.719,146.008,440.273
75,401.89,143.353,454.757
76,390.617,140.421,468.962
77,379.892,137.245,482.863
78,369.704,133.859,496.437
79,360.039,130.297,509.664
80,350.883,126.59,522.528
81,342.217,122.767,535.016
82,334.024,118.859,547.117
83,326.284,114.891,558.825
84,318.979,110.887,570.134
85,312.088,106.87,581.042
86,305.592,102.86,591.548
87,299.471,98.8742,601.655
88,293.706,94.9296,611.364
89,288.279,91.0397,620.682
90,283.17,87.2166,629.613
91,278.364,83.4706,638.165
92,273.842,79.8106,646.347
93,269.59,76.2436,654.167
94,265.59,72.7755,661.634
95,261.83,69.4108,668.759
96,258.294,66.1531,675.553
97,254.97,63.0047,682.026
98,251.844,59.9671,688.189
99,248.906,57.0412,694.053
100,246.144,54.2268,699.629
101,243.547,51.5234,704.929
102,241.106,48.93,709.964
103,238.811,46.4449,714.744
104,236.653,44.0663,719.281
105,234.624,41.7918,723.584
106,232.716,39.619,727.665
107,230.922,37.5452,731.533
108,229.235,35.5674,735.198
109,227.649,33.6827,738.669
110,226.157,31.888,741.955
111,224.753,30.1801,745.067
112,223.433,28.5558,748.011
113,222.192,27.0119,750.796
114,221.024,25.5454,753.431
115,219.925,24.1529,755.922
116,218.891,22.8314,758.278
117,217.918,21.5778,760.504
118,217.003,20.3892,762.607
119,216.142,19.2627,764.595
120,215.332,18.1952,766.473
121,214.569,17.1843,768.247
122,213.852,16.227,769.921
123,213.176,15.321,771.503
124,212.54,14.4636,772.996
125,211.942,13.6525,774.406
126,211.379,12.8854,775.736
127,210.848,12.16,776.992
128,210.349,11.4743,778.176
129,209.88,10.8262,779.294
130,209.437,10.2137,780.349
131,209.021,9.63511,781.344
132,208.629,9.08852,782.283
133,208.26,8.57227,783.168
134,207.912,8.08477,784.003
135,207.585,7.62448,784.791
136,207.277,7.18992,785.533
137,206.986,6.77973,786.234
138,206.713,6.39258,786.894
139,206.456,6.02721,787.517
140,206.214,5.68243,788.104
