Time,Susceptible,Infected,Recovered
0,999,1,0
1,998.79,1.10465,0.104885
2,998.559,1.22021,0.220744
3,998.303,1.34778,0.34872
4,998.021,1.48862,0.490072
5,997.71,1.64407,0.64619
6,997.366,1.81564,0.818607
7,996.986,2.00497,1.00901
8,996.567,2.21387,1.21926
9,996.104,2.44432,1.4514
10,995.594,2.6985,1.7077
11,995.031,2.97879,1.99064
12,994.409,3.28781,2.30295
13,993.724,3.62842,2.64763
14,992.968,4.00373,3.028
15,992.135,4.41718,3.44768
16,991.217,4.87247,3.91066
17,990.205,5.37367,4.42131
18,989.09,5.92517,4.98444
19,987.863,6.53175,5.60529
20,986.512,7.19858,6.28961
21,985.025,7.93126,7.0437
22,983.39,8.73581,7.87442
23,981.592,9.61869,8.78926
24,979.617,10.5868,9.79638
25,977.448,11.6476,10.9046
26,975.067,12.809,12.1237
27,972.457,14.0791,13.464
28,969.596,15.4668,14.9368
29,966.465,16.9811,16.5543
30,963.039,18.6316,18.3297
31,959.295,20.428,20.2769
32,955.209,22.3801,22.4111
33,950.754,24.498,24.7483
34,945.903,26.7916,27.3055
35,940.629,29.2705,30.1008
36,934.903,31.9438,33.1532
37,928.698,34.82,36.4825
38,921.984,37.9064,40.1093
39,914.736,41.2093,44.055
40,906.926,44.7329,48.3415
41,898.529,48.4797,52.9909
42,889.525,52.4495,58.0256
43,879.893,56.6393,63.4677
44,869.618,61.0429,69.3391
45,858.689,65.6502,75.6606
46,847.101,70.4472,82.452
47,834.853,75.4157,89.7313
48,821.953,80.5327,97.5148
49,808.413,85.7708,105.816
50,794.257,91.0979,114.646
51,779.512,96.4778,124.011
52,764.215,101.87,133.915
53,748.413,107.23,144.357
54,732.156,112.513,155.331
55,715.502,117.669,166.829
56,698.518,122.648,178.834
57,681.27,127.403,191.327
58,663.833,131.884,204.282
59,646.282,136.047,217.671
60,628.691,139.85,231.46
61,611.136,143.254,245.61
62,593.69,146.23,260.08
63,576.423,148.75,274.827
64,559.402,150.795,289.803
65,542.685,152.354,304.961
66,526.328,153.421,320.251
67,510.38,153.996,335.624
68,494.88,154.088,351.032
69,479.864,153.709,366.427
70,465.359,152.879,381.762
71,451.386,151.621,396.994
72,437.959,149.96,412.08
73,425.089,147.928,426.983
74,412.779,145.556,441.665
75,401.027,142.876,456.096
76,389.83,139.924,470.246
77,379.178,136.734,484.088
78,369.06,133.338,497.602
79,359.463,129.769,510.768
80,350.371,126.06,523.569
81,341.766,122.239,535.995
82,333.63,118.336,548.034
83,325.945,114.376,559.68
84,318.69,110.382,570.928
85,311.847,106.378,581.776
86,305.395,102.382,592.223
87,299.315,98.4123,602.273
88,293.588,94.4847,611.927
89,288.196,90.6127,621.191
90,283.121,86.8081,630.071
91,278.345,83.0811,638.574
92,273.851,79.4402,646.709
93,269.624,75.8924,654.483
94,265.649,72.4434,661.908
95,261.91,69.0977,668.992
96,258.394,65.8584,675.747
97,255.088,62.7281,682.184
98,251.98,59.7081,688.312
99,249.057,56.7991,694.144
100,246.309,54.0011,699.69
101,243.725,51.3135,704.961
102,241.296,48.7351,709.969
103,239.011,46.2643,714.725
104,236.863,43.8993,719.238
105,234.843,41.6377,723.52
106,232.943,39.4771,727.58
107,231.156,37.4148,731.429
108,229.476,35.4479,735.076
109,227.896,33.5734,738.531
110,226.409,31.7882,741.803
111,225.01,30.0892,744.9
112,223.695,28.4733,747.832
113,222.457,26.9373,750.606
114,221.293,25.4779,753.229
115,220.197,24.0922,755.711
116,219.166,22.777,758.057
117,218.196,21.5292,760.275
118,217.283,20.346,762.371
119,216.424,19.2243,764.352
120,215.615,18.1615,766.223
121,214.854,17.1547,767.991
122,214.138,16.2013,769.661
123,213.464,15.2988,771.238
124,212.829,14.4446,772.727
125,212.231,13.6365,774.132
126,211.669,12.872,775.459
127,211.139,12.1491,776.712
128,210.64,11.4656,777.894
129,210.171,10.8195,779.01
130,209.729,10.2089,780.062
131,209.313,9.6319,781.055
132,208.921,9.08678,781.992
133,208.552,8.57185,782.876
134,208.204,8.08553,783.71
135,207.877,7.62628,784.497
136,207.569,7.19265,785.239
137,207.279,6.78328,785.938
138,207.005,6.39684,786.598
139,206.748,6.03209,787.22
140,206.505,5.68786,787.807
141,206.277,5.36302,788.36
142,206.062,5.0565,788.882
143,205.859,4.76731,789.373
144,205.668,4.49447,789.837
145,205.489,4.23709,790.274
146,205.319,3.99432,790.686
147,205.16,3.76532,791.075
148,205.01,3.54935,791.441
149,204.868,3.34566,791.786
150,204.735,3.15358,792.111
151,204.61,2.97245,792.418
152,204.491,2.80165,792.707
153,204.38,2.64061,792.98
154,204.275,2.48877,793.236
155,204.176,2.34561,793.478
156,204.083,2.21064,793.706
157,203.995,2.08341,793.921
158,203.913,1.96346,794.124
159,203.835,1.85039,794.315
160,203.761,1.7438,794.495
161,203.692,1.64333,794.664
162,203.627,1.54863,794.824
163,203.566,1.45936,794.975
164,203.508,1.37523,795.117
165,203.454,1.29593,795.25
166,203.403,1.22119,795.376
167,203.354,1.15075,795.495
168,203.309,1.08436,795.607
169,203.266,1.0218,795.712
170,203.225,0.962831,795.812
171,203.187,0.907262,795.905
172,203.152,0.854894,795.994
173,203.118,0.805542,796.077
174,203.086,0.759035,796.155
175,203.056,0.715208,796.229
176,203.028,0.673908,796.298
177,203.001,0.63499,796.364
178,202.976,0.598315,796.426
179,202.952,0.563757,796.484
180,202.93,0.531192,796.539
181,202.909,0.500505,796.59
182,202.89,0.47159,796.639
183,202.871,0.444343,796.685
184,202.853,0.418669,796.728
185,202.837,0.394477,796.769
186,202.821,0.371682,796.807
187,202.807,0.350203,796.843
188,202.793,0.329965,796.877
189,202.78,0.310895,796.909
190,202.768,0.292926,796.939
191,202.756,0.275995,796.968
192,202.745,0.260043,796.995
193,202.735,0.245012,797.02
194,202.725,0.230849,797.044
195,202.716,0.217504,797.066
196,202.708,0.204931,797.087
197,202.699,0.193084,797.107
198,202.692,0.181921,797.126
199,202.685,0.171404,797.144
