Time,Susceptible,Infected,Recovered
0,999,1,0
1,998.79,1.10487,0.105104
2,998.558,1.22069,0.221229
3,998.302,1.34858,0.349523
4,998.019,1.48979,0.491254
5,997.706,1.64569,0.647822
6,997.361,1.81778,0.820768
7,996.98,2.00773,1.01179
8,996.56,2.21734,1.22277
9,996.096,2.44863,1.45576
10,995.583,2.70377,1.71305
11,995.018,2.98518,1.99712
12,994.394,3.29549,2.31075
13,993.705,3.63757,2.65695
14,992.946,4.01459,3.03907
15,992.109,4.42998,3.46075
16,991.186,4.88749,3.92603
17,990.169,5.3912,4.43931
18,989.049,5.94556,5.00543
19,987.815,6.55539,5.62969
20,986.456,7.22589,6.31789
21,984.961,7.9627,7.07637
22,983.316,8.7719,7.91207
23,981.507,9.66,8.83253
24,979.52,10.634,9.846
25,977.337,11.7013,10.9614
26,974.942,12.8699,12.1885
27,972.314,14.1481,13.5378
28,969.435,15.5446,15.0207
29,966.282,17.0688,16.6495
30,962.832,18.73,18.4375
31,959.063,20.5382,20.3987
32,954.948,22.5031,22.5484
33,950.462,24.6349,24.9029
34,945.577,26.9435,27.4791
35,940.266,29.4383,30.2954
36,934.501,32.1287,33.3707
37,928.252,35.0229,36.7251
38,921.492,38.1283,40.3793
39,914.194,41.4508,44.3548
40,906.332,44.9946,48.6734
41,897.881,48.762,53.3575
42,888.818,52.7524,58.4294
43,879.126,56.9626,63.9112
44,868.789,61.3858,69.8247
45,857.798,66.0118,76.1906
46,846.145,70.826,83.0286
47,833.834,75.8095,90.3566
48,820.871,80.939,98.1903
49,807.27,86.1866,106.543
50,793.055,91.5196,115.425
51,778.255,96.9013,124.843
52,762.909,102.291,134.8
53,747.061,107.644,145.295
54,730.766,112.913,156.321
55,714.081,118.051,167.868
56,697.072,123.008,179.92
57,679.809,127.734,192.457
58,662.365,132.182,205.453
59,644.814,136.307,218.878
60,627.233,140.068,232.698
61,609.696,143.429,246.875
62,592.277,146.357,261.367
63,575.044,148.828,276.128
64,558.062,150.824,291.114
65,541.392,152.333,306.275
66,525.086,153.351,321.563
67,509.193,153.878,336.928
68,493.753,153.925,352.322
69,478.798,153.504,367.698
70,464.356,152.635,383.009
71,450.448,151.341,398.212
72,437.086,149.649,413.265
73,424.28,147.589,428.131
74,412.033,145.193,442.774
75,400.344,142.494,457.162
76,389.207,139.527,471.267
77,378.613,136.324,485.063
78,368.552,132.92,498.528
79,359.008,129.348,511.645
80,349.966,125.637,524.397
81,341.409,121.818,536.772
82,333.319,117.919,548.762
83,325.677,113.965,560.358
84,318.462,109.98,571.558
85,311.656,105.986,582.358
86,305.239,102.002,592.759
87,299.192,98.0448,602.763
88,293.496,94.1307,612.373
89,288.132,90.273,621.595
90,283.083,86.4833,630.434
91,278.331,82.7714,638.898
92,273.859,79.1458,646.995
93,269.653,75.6133,654.734
94,265.696,72.1795,662.124
95,261.975,68.8487,669.176
96,258.475,65.6243,675.901
97,255.184,62.5083,682.308
98,252.088,59.5023,688.409
99,249.178,56.6068,694.215
100,246.441,53.8217,699.737
101,243.867,51.1466,704.986
102,241.447,48.5801,709.973
103,239.171,46.1207,714.708
104,237.031,43.7665,719.203
105,235.018,41.5152,723.467
106,233.124,39.3643,727.511
107,231.344,37.3111,731.345
108,229.668,35.3528,734.979
109,228.093,33.4864,738.421
110,226.61,31.7088,741.681
111,225.216,30.017,744.767
112,223.904,28.4077,747.689
113,222.669,26.8778,750.453
114,221.508,25.4243,753.068
115,220.414,24.0439,755.542
116,219.386,22.7336,757.881
117,218.418,21.4905,760.092
118,217.506,20.3115,762.182
119,216.649,19.1938,764.157
120,215.842,18.1345,766.024
121,215.082,17.1311,767.787
122,214.366,16.1808,769.453
123,213.693,15.281,771.026
124,213.059,14.4294,772.512
125,212.462,13.6236,773.914
126,211.9,12.8613,775.238
127,211.371,12.1404,776.489
128,210.873,11.4586,777.669
129,210.404,10.8141,778.782
130,209.962,10.205,779.833
131,209.546,9.62928,780.825
132,209.154,9.08534,781.761
133,208.785,8.57147,782.644
134,208.438,8.08608,783.476
135,208.11,7.62767,784.262
136,207.802,7.19478,785.003
137,207.512,6.78606,785.702
138,207.238,6.40019,786.362
139,206.981,6.03595,786.983
140,206.738,5.69215,787.57
141,206.509,5.36768,788.123
142,206.294,5.06148,788.644
143,206.091,4.77254,789.136
144,205.9,4.49993,789.6
145,205.721,4.24273,790.037
146,205.551,4.00009,790.449
147,205.391,3.7712,790.837
148,205.241,3.5553,791.204
149,205.099,3.35166,791.549
150,204.966,3.1596,791.875
151,204.84,2.97846,792.182
152,204.721,2.80765,792.471
153,204.61,2.64656,792.744
154,204.505,2.49467,793.001
155,204.406,2.35144,793.243
156,204.312,2.2164,793.471
157,204.224,2.08907,793.687
158,204.141,1.96903,793.89
159,204.063,1.85585,794.081
160,203.99,1.74915,794.261
161,203.92,1.64856,794.431
162,203.855,1.55374,794.591
163,203.794,1.46435,794.742
164,203.736,1.38009,794.884
165,203.681,1.30066,795.018
166,203.63,1.22579,795.145
167,203.581,1.15522,795.264
168,203.535,1.0887,795.376
169,203.492,1.026,795.482
170,203.452,0.966903,795.581
171,203.414,0.911205,795.675
172,203.378,0.858708,795.764
173,203.344,0.80923,795.847
174,203.312,0.762598,795.926
175,203.282,0.718649,796
176,203.253,0.677229,796.069
177,203.227,0.638192,796.135
178,203.201,0.601403,796.197
179,203.178,0.566731,796.256
180,203.155,0.534056,796.311
181,203.134,0.503263,796.363
182,203.114,0.474243,796.411
183,203.096,0.446894,796.457
184,203.078,0.421122,796.501
185,203.061,0.396834,796.542
186,203.046,0.373946,796.58
187,203.031,0.352377,796.617
188,203.017,0.332051,796.651
