Time,Susceptible,Infected,Recovered
0,999,1,0
1,998.79,1.1049,0.105132
2,998.558,1.22075,0.22129
3,998.302,1.34868,0.349623
4,998.019,1.48994,0.491403
5,997.706,1.64589,0.648027
6,997.361,1.81805,0.821039
7,996.98,2.00807,1.01214
8,996.559,2.21778,1.22321
9,996.095,2.44917,1.45631
10,995.582,2.70443,1.71372
11,995.016,2.98598,1.99794
12,994.392,3.29645,2.31173
13,993.703,3.63872,2.65812
14,992.944,4.01595,3.04046
15,992.106,4.43158,3.4624
16,991.183,4.88937,3.92796
17,990.165,5.3934,4.44157
18,989.044,5.94812,5.00807
19,987.809,6.55835,5.63275
20,986.449,7.22932,6.32144
21,984.953,7.96665,7.08048
22,983.307,8.77644,7.9168
23,981.497,9.66519,8.83797
24,979.508,10.6399,9.85224
25,977.323,11.7081,10.9686
26,974.926,12.8775,12.1967
27,972.296,14.1567,13.5471
28,969.414,15.5544,15.0313
29,966.259,17.0798,16.6615
30,962.807,18.7424,18.451
31,959.034,20.552,20.414
32,954.916,22.5186,22.5657
33,950.426,24.6521,24.9223
34,945.537,26.9625,27.5009
35,940.221,29.4594,30.3198
36,934.45,32.1519,33.398
37,928.196,35.0484,36.7556
38,921.431,38.1562,40.4133
39,914.126,41.4811,44.3925
40,906.257,45.0275,48.7152
41,897.799,48.7974,53.4036
42,888.729,52.7904,58.4801
43,879.03,57.0031,63.9669
44,868.685,61.4288,69.8857
45,857.686,66.0571,76.2572
46,846.026,70.8734,83.101
47,833.706,75.8588,90.4351
48,820.735,80.9899,98.2751
49,807.127,86.2387,106.634
50,792.905,91.5724,115.523
51,778.098,96.9542,124.948
52,762.745,102.343,134.911
53,746.892,107.695,145.413
54,730.592,112.963,156.445
55,713.903,118.099,167.998
56,696.891,123.052,180.056
57,679.626,127.775,192.599
58,662.181,132.219,205.6
59,644.631,136.34,219.029
60,627.051,140.095,232.853
61,609.517,143.45,247.033
62,592.1,146.372,261.527
63,574.871,148.837,276.291
64,557.895,150.827,291.278
65,541.23,152.33,306.44
66,524.932,153.341,321.727
67,509.045,153.863,337.091
68,493.612,153.904,352.483
69,478.665,153.478,367.857
70,464.232,152.604,383.164
71,450.331,151.305,398.364
72,436.978,149.609,413.413
73,424.18,147.546,428.274
74,411.941,145.147,442.912
75,400.259,142.446,457.295
76,389.129,139.477,471.394
77,378.543,136.273,485.184
78,368.488,132.868,498.643
79,358.951,129.295,511.754
80,349.916,125.584,524.5
81,341.365,121.766,536.869
82,333.281,117.867,548.852
83,325.643,113.914,560.443
84,318.434,109.93,571.636
85,311.633,105.937,582.43
86,305.22,101.954,592.826
87,299.177,97.9989,602.824
88,293.485,94.0866,612.429
89,288.124,90.2307,621.645
90,283.078,86.4428,630.479
91,278.329,82.7328,638.938
92,273.86,79.1091,647.03
93,269.657,75.5785,654.765
94,265.702,72.1466,662.151
95,261.983,68.8177,669.199
96,258.485,65.5951,675.92
97,255.196,62.4809,682.324
98,252.102,59.4766,688.421
99,249.193,56.5828,694.224
100,246.458,53.7994,699.743
101,243.885,51.1258,704.989
102,241.466,48.5608,709.973
103,239.191,46.1028,714.706
104,237.052,43.7499,719.198
105,235.04,41.4999,723.461
106,233.147,39.3502,727.503
107,231.367,37.2982,731.335
108,229.693,35.341,734.967
109,228.117,33.4756,738.407
110,226.636,31.6989,741.666
111,225.241,30.0079,744.751
112,223.93,28.3995,747.671
113,222.696,26.8704,750.434
114,221.534,25.4176,753.048
115,220.442,24.0378,755.521
116,219.413,22.7282,757.859
117,218.445,21.4856,760.069
118,217.534,20.3072,762.158
119,216.677,19.1899,764.133
120,215.87,18.1312,765.999
121,215.11,17.1281,767.762
122,214.395,16.1782,769.427
123,213.722,15.2788,771
124,213.088,14.4275,772.485
125,212.491,13.622,773.887
126,211.929,12.86,775.211
127,211.4,12.1393,776.461
128,210.902,11.4578,777.64
129,210.433,10.8135,778.754
130,209.991,10.2045,779.805
131,209.575,9.62895,780.796
132,209.183,9.08516,781.732
133,208.814,8.57142,782.614
134,208.467,8.08615,783.447
135,208.139,7.62784,784.233
136,207.831,7.19505,784.974
137,207.541,6.7864,785.673
138,207.267,6.40061,786.332
139,207.01,6.03643,786.954
140,206.767,5.69268,787.54
141,206.539,5.36826,788.093
142,206.323,5.0621,788.615
143,206.12,4.7732,789.106
144,205.929,4.50061,789.57
145,205.749,4.24343,790.007
146,205.58,4.00081,790.419
147,205.42,3.77193,790.808
148,205.27,3.55604,791.174
149,205.128,3.35241,791.52
150,204.994,3.16035,791.845
151,204.869,2.97921,792.152
152,204.75,2.80839,792.441
153,204.639,2.64731,792.714
154,204.533,2.4954,792.971
155,204.434,2.35217,793.214
156,204.341,2.21712,793.442
157,204.253,2.08978,793.657
158,204.17,1.96972,793.86
159,204.092,1.85653,794.052
160,204.018,1.74982,794.232
161,203.949,1.64921,794.402
162,203.884,1.55438,794.562
163,203.822,1.46497,794.713
164,203.764,1.38069,794.855
165,203.709,1.30125,794.989
166,203.658,1.22636,795.116
167,203.61,1.15577,795.235
168,203.564,1.08924,795.347
169,203.521,1.02652,795.453
170,203.48,0.967412,795.552
171,203.442,0.911697,795.646
172,203.406,0.859185,795.735
173,203.372,0.809691,795.818
174,203.34,0.763044,795.897
175,203.31,0.719079,795.971
176,203.281,0.677644,796.041
177,203.255,0.638592,796.107
178,203.23,0.601788,796.169
179,203.206,0.567103,796.227
180,203.183,0.534414,796.282
181,203.162,0.503607,796.334
182,203.142,0.474574,796.383
183,203.124,0.447213,796.429
184,203.106,0.421429,796.472
185,203.089,0.397129,796.513
186,203.074,0.374229,796.552
187,203.059,0.352649,796.588
188,203.045,0.332312,796.623
189,203.032,0.313147,796.655
190,203.02,0.295087,796.685
191,203.008,0.278067,796.714
192,202.997,0.262029,796.741
193,202.987,0.246915,796.766
194,202.977,0.232673,796.79
195,202.968,0.219251,796.813
196,202.959,0.206604,796.834
197,202.951,0.194685,796.854
198,202.943,0.183454,796.873
199,202.936,0.172871,796.891
