Time,Susceptible,Infected,Recovered
0,999,1,0
1,998.8,1.0998,0.1
2,998.581,1.20952,0.20998
3,998.339,1.33012,0.330932
4,998.073,1.46269,0.463944
5,997.781,1.6084,0.610214
6,997.46,1.76853,0.771054
7,997.108,1.94448,0.947906
8,996.72,2.1378,1.14235
9,996.294,2.35018,1.35613
10,995.825,2.58346,1.59115
11,995.311,2.83965,1.8495
12,994.746,3.12095,2.13346
13,994.125,3.42976,2.44556
14,993.443,3.76871,2.78854
15,992.694,4.14064,3.16541
16,991.872,4.54865,3.57947
17,990.97,4.99612,4.03434
18,989.979,5.48671,4.53395
19,988.893,6.02439,5.08262
20,987.701,6.61345,5.68506
21,986.395,7.25852,6.3464
22,984.963,7.96462,7.07226
23,983.394,8.73713,7.86872
24,981.676,9.58183,8.74243
25,979.794,10.5049,9.70061
26,977.736,11.5129,10.7511
27,975.485,12.613,11.9024
28,973.024,13.8124,13.1637
29,970.336,15.1191,14.5449
30,967.402,16.5414,16.0568
31,964.201,18.0876,17.711
32,960.713,19.7669,19.5197
33,956.915,21.5883,21.4964
34,952.784,23.5611,23.6553
35,948.294,25.6947,26.0114
36,943.421,27.9985,28.5808
37,938.138,30.4815,31.3807
38,932.419,33.1525,34.4288
39,926.236,36.0196,37.7441
40,919.564,39.0902,41.3461
41,912.375,42.3704,45.2551
42,904.643,45.8649,49.4921
43,896.345,49.5767,54.0786
44,887.457,53.5066,59.0363
45,877.96,57.6529,64.3869
46,867.837,62.0109,70.1522
47,857.074,66.5729,76.3533
48,845.662,71.3272,83.0106
49,833.598,76.2582,90.1433
50,820.885,81.3462,97.7691
51,807.53,86.5667,105.904
52,793.548,91.8911,114.56
53,778.964,97.286,123.75
54,763.808,102.714,133.478
55,748.117,108.133,143.75
56,731.938,113.499,154.563
57,715.323,118.764,165.913
58,698.332,123.879,177.789
59,681.031,128.792,190.177
60,663.488,133.456,203.056
61,645.779,137.819,216.402
62,627.979,141.837,230.184
63,610.165,145.468,244.367
64,592.413,148.673,258.914
65,574.798,151.421,273.782
66,557.39,153.686,288.924
67,540.258,155.45,304.292
68,523.461,156.702,319.837
69,507.056,157.437,335.507
70,491.09,157.659,351.251
71,475.605,157.378,367.017
72,460.635,156.61,382.755
73,446.207,155.377,398.416
74,432.341,153.706,413.954
75,419.05,151.626,429.324
76,406.342,149.171,444.487
77,394.22,146.377,459.404
78,382.679,143.28,474.041
79,371.713,139.918,488.369
80,361.311,136.328,502.361
81,351.459,132.547,515.994
82,342.142,128.609,529.249
