Time,Susceptible,Infected,Recovered
0,999,1,0
1,998.79,1.10493,0.105159
2,998.558,1.22081,0.22135
3,998.301,1.34878,0.349723
4,998.018,1.49008,0.491549
5,997.706,1.64609,0.648229
6,997.36,1.81832,0.821308
7,996.979,2.00842,1.01249
8,996.558,2.21821,1.22365
9,996.093,2.4497,1.45685
10,995.581,2.70509,1.71438
11,995.014,2.98678,1.99874
12,994.39,3.2974,2.3127
13,993.701,3.63986,2.65928
14,992.941,4.0173,3.04184
15,992.103,4.43318,3.46402
16,991.179,4.89124,3.92987
17,990.161,5.39558,4.44381
18,989.039,5.95066,5.01068
19,987.803,6.5613,5.63579
20,986.442,7.23272,6.32496
21,984.945,7.97057,7.08455
22,983.298,8.78093,7.92149
23,981.486,9.67034,8.84336
24,979.496,10.6458,9.85842
25,977.31,11.7147,10.9756
26,974.91,12.8851,12.2047
27,972.278,14.1653,13.5563
28,969.394,15.5641,15.0418
29,966.236,17.0907,16.6734
30,962.781,18.7547,18.4645
31,959.005,20.5657,20.4292
32,954.883,22.5339,22.5828
33,950.389,24.6692,24.9415
34,945.496,26.9814,27.5226
35,940.176,29.4803,30.344
36,934.4,32.175,33.4251
37,928.14,35.0737,36.7858
38,921.369,38.1838,40.4469
39,914.059,41.5112,44.4298
40,906.183,45.0601,48.7565
41,897.718,48.8325,53.4493
42,888.642,52.8281,58.5304
43,878.935,57.0433,64.0222
44,868.582,61.4715,69.9462
45,857.575,66.102,76.3232
46,845.907,70.9205,83.1728
47,833.579,75.9077,90.5129
48,820.6,81.0403,98.3592
49,806.985,86.2902,106.725
50,792.755,91.6246,115.62
51,777.942,97.0066,125.051
52,762.583,102.395,135.022
53,746.725,107.746,145.529
54,730.419,113.013,156.568
55,713.727,118.146,168.127
56,696.712,123.097,180.191
57,679.446,127.816,192.739
58,662,132.256,205.745
59,644.449,136.371,219.179
60,626.871,140.122,233.007
61,609.339,143.471,247.19
62,591.926,146.388,261.687
63,574.701,148.847,276.452
64,557.73,150.83,291.44
65,541.071,152.327,306.602
66,524.778,153.332,321.889
67,508.899,153.849,337.252
68,493.473,153.884,352.643
69,478.534,153.452,368.014
70,464.108,152.573,383.318
71,450.215,151.271,398.514
72,436.87,149.571,413.559
73,424.08,147.504,428.416
74,411.849,145.102,443.049
75,400.175,142.399,457.426
76,389.053,139.428,471.52
77,378.473,136.222,485.304
78,368.426,132.817,498.758
79,358.895,129.243,511.862
80,349.866,125.532,524.602
81,341.321,121.714,536.965
82,333.243,117.816,548.942
83,325.611,113.863,560.526
84,318.406,109.881,571.713
85,311.609,105.889,582.502
86,305.201,101.907,592.892
87,299.162,97.9536,602.884
88,293.473,94.043,612.484
89,288.116,90.1888,621.695
90,283.073,86.4027,630.524
91,278.327,82.6946,638.978
92,273.862,79.0728,647.066
