Time,Susceptible,Infected,Recovered
0,999,1,0
1,998.795,1.10228,0.102495
2,998.57,1.21497,0.215472
3,998.321,1.33913,0.339998
4,998.047,1.4759,0.477247
5,997.745,1.62655,0.628512
6,997.412,1.79247,0.795215
7,997.046,1.97519,0.978919
8,996.642,2.17638,1.18135
9,996.198,2.39788,1.40439
10,995.708,2.64168,1.65013
11,995.169,2.91,1.92084
12,994.576,3.20524,2.21905
13,993.922,3.53002,2.5475
14,993.204,3.88721,2.90922
15,992.413,4.27995,3.30752
16,991.542,4.71163,3.74606
17,990.585,5.18598,4.2288
18,989.533,5.70701,4.76012
19,988.376,6.27911,5.34479
20,987.105,6.90699,5.98803
21,985.709,7.59577,6.69555
22,984.175,8.35096,7.47358
23,982.493,9.17848,8.32889
24,980.646,10.0847,9.26888
25,978.622,11.0764,10.3016
26,976.403,12.1608,11.4357
27,973.974,13.3455,12.6808
28,971.314,14.6388,14.047
29,968.406,16.049,15.5453
30,965.227,17.5851,17.1878
31,961.756,19.2563,18.9872
32,957.971,21.0719,20.9573
33,953.845,23.0418,23.1128
34,949.355,25.1754,25.4692
35,944.474,27.4825,28.0433
36,939.175,29.9724,30.8527
37,933.43,32.654,33.9157
38,927.212,35.5356,37.2519
39,920.494,38.6245,40.8814
40,913.248,41.9268,44.825
41,905.449,45.4469,49.1043
42,897.071,49.1874,53.7411
43,888.094,53.1486,58.7575
44,878.497,57.3279,64.1755
45,868.263,61.7198,70.0168
46,857.383,66.315,76.3024
47,845.847,71.1006,83.0524
48,833.655,76.0594,90.2854
49,820.812,81.1698,98.0183
50,807.329,86.4055,106.265
51,793.225,91.736,115.039
52,778.527,97.126,124.347
53,763.269,102.536,134.195
54,747.493,107.924,144.583
55,731.248,113.243,155.509
56,714.591,118.445,166.965
57,697.583,123.481,178.936
58,680.294,128.3,191.406
59,662.794,132.854,204.352
60,645.159,137.096,217.745
61,627.464,140.982,231.554
62,609.785,144.472,245.742
63,592.198,147.533,260.269
64,574.773,150.136,275.09
65,557.581,152.259,290.16
66,540.682,153.888,305.43
67,524.136,155.014,320.85
68,507.993,155.637,336.37
69,492.298,155.763,351.94
70,477.086,155.403,367.51
71,462.39,154.577,383.033
72,448.232,153.306,398.461
73,434.629,151.619,413.752
74,421.592,149.543,428.865
75,409.126,147.114,443.76
76,397.23,144.365,458.405
77,385.902,141.331,472.767
78,375.133,138.048,486.82
79,364.911,134.551,500.538
80,355.222,130.875,513.902
81,346.052,127.053,526.895
82,337.381,123.116,539.503
83,329.191,119.094,551.714
84,321.463,115.015,563.522
85,314.176,110.903,574.921
86,307.31,106.782,585.908
87,300.845,102.672,596.483
88,294.76,98.5918,606.648
89,289.036,94.5582,616.406
90,283.652,90.5853,625.762
91,278.592,86.6854,634.723
92,273.836,82.8688,643.295
93,269.367,79.1445,651.489
94,265.169,75.5194,659.312
95,261.226,71.9994,666.775
96,257.522,68.5889,673.889
97,254.044,65.2912,680.665
98,250.778,62.1084,687.114
99,247.711,59.0417,693.247
100,244.831,56.0918,699.077
101,242.127,53.2582,704.614
102,239.588,50.5402,709.872
103,237.204,47.9363,714.86
104,234.965,45.4446,719.59
105,232.863,43.0629,724.075
106,230.888,40.7887,728.323
107,229.034,38.6191,732.347
108,227.292,36.5513,736.157
109,225.656,34.5819,739.762
110,224.119,32.7079,743.173
111,222.676,30.9257,746.399
112,221.32,29.2321,749.448
113,220.045,27.6237,752.331
114,218.848,26.0971,755.055
115,217.724,24.6488,757.628
116,216.667,23.2756,760.058
117,215.674,21.9742,762.352
118,214.74,20.7414,764.518
119,213.863,19.574,766.563
120,213.039,18.4691,768.492
121,212.264,17.4236,770.313
122,211.535,16.4347,772.03
123,210.85,15.4997,773.65
124,210.207,14.6158,775.177
125,209.602,13.7805,776.618
126,209.033,12.9914,777.976
127,208.498,12.246,779.256
128,207.995,11.5422,780.463
129,207.522,10.8777,781.6
130,207.077,10.2505,782.672
131,206.659,9.65852,783.682
132,206.266,9.1,784.634
133,205.897,8.57309,785.53
134,205.549,8.07608,786.375
135,205.222,7.60735,787.171
136,204.914,7.16535,787.92
137,204.625,6.74861,788.626
138,204.353,6.35573,789.291
139,204.097,5.9854,789.917
140,203.857,5.63635,790.507
141,203.63,5.30739,791.062
142,203.417,4.99741,791.585
143,203.217,4.70533,792.078
144,203.029,4.43014,792.541
145,202.852,4.17088,792.978
146,202.685,3.92665,793.388
147,202.528,3.6966,793.775
148,202.381,3.47992,794.139
149,202.242,3.27584,794.482
150,202.111,3.08364,794.805
151,201.989,2.90264,795.109
152,201.873,2.7322,795.395
153,201.764,2.57171,795.664
154,201.662,2.42059,795.917
155,201.566,2.2783,796.156
156,201.476,2.14433,796.38
157,201.391,2.01821,796.591
158,201.31,1.89947,796.79
159,201.235,1.78769,796.977
160,201.164,1.68246,797.153
161,201.098,1.5834,797.319
162,201.035,1.49015,797.475
163,200.976,1.40238,797.622
164,200.92,1.31976,797.76
165,200.868,1.24199,797.89
166,200.819,1.1688,798.012
167,200.773,1.0999,798.127
168,200.729,1.03506,798.236
169,200.688,0.974035,798.338
170,200.65,0.916598,798.434
171,200.614,0.862541,798.524
172,200.579,0.811666,798.609
173,200.547,0.763786,798.689
174,200.517,0.718727,798.764
175,200.489,0.676321,798.835
176,200.462,0.636414,798.901
177,200.437,0.598858,798.964
178,200.413,0.563515,799.023
179,200.391,0.530256,799.079
180,200.37,0.498958,799.131
181,200.35,0.469505,799.18
182,200.332,0.441788,799.226
183,200.314,0.415707,799.27
184,200.298,0.391164,799.311
185,200.283,0.368068,799.349
186,200.268,0.346335,799.386
187,200.254,0.325885,799.42
188,200.242,0.306641,799.452
189,200.23,0.288532,799.482
190,200.218,0.271493,799.51
191,200.207,0.255459,799.537
192,200.197,0.240372,799.562
193,200.188,0.226175,799.586
194,200.179,0.212816,799.608
195,200.171,0.200246,799.629
196,200.163,0.188418,799.649
197,200.155,0.177288,799.667
198,200.148,0.166816,799.685
199,200.142,0.156962,799.701
