Time,Susceptible,Infected,Recovered
0,999,1,0
1,998.79,1.10493,0.105159
2,998.558,1.22081,0.221349
3,998.301,1.34878,0.349722
4,998.018,1.49008,0.491548
5,997.706,1.64609,0.648227
6,997.36,1.81832,0.821305
7,996.979,2.00841,1.01248
8,996.558,2.21821,1.22364
9,996.093,2.4497,1.45685
10,995.581,2.70508,1.71437
11,995.014,2.98677,1.99874
12,994.39,3.29739,2.31269
13,993.701,3.63985,2.65927
14,992.941,4.01729,3.04182
15,992.103,4.43316,3.46401
16,991.179,4.89122,3.92986
17,990.161,5.39556,4.44379
18,989.039,5.95064,5.01065
19,987.803,6.56127,5.63576
20,986.442,7.23268,6.32493
21,984.945,7.97053,7.0845
22,983.298,8.78088,7.92144
23,981.486,9.67029,8.84331
24,979.496,10.6457,9.85836
25,977.31,11.7147,10.9756
26,974.91,12.885,12.2047
27,972.279,14.1652,13.5562
28,969.394,15.564,15.0416
29,966.236,17.0906,16.6733
30,962.781,18.7545,18.4643
31,959.005,20.5656,20.4291
32,954.884,22.5337,22.5827
33,950.39,24.669,24.9414
34,945.496,26.9812,27.5223
35,940.176,29.4801,30.3438
36,934.4,32.1747,33.4249
37,928.141,35.0734,36.7855
38,921.37,38.1835,40.4466
39,914.06,41.5109,44.4294
40,906.184,45.0597,48.7561
41,897.719,48.8322,53.4488
42,888.642,52.8277,58.5299
43,878.935,57.0429,64.0216
44,868.583,61.471,69.9456
45,857.576,66.1016,76.3225
46,845.908,70.92,83.1721
47,833.581,75.9072,90.5121
48,820.602,81.0398,98.3583
49,806.986,86.2897,106.724
50,792.757,91.6241,115.619
51,777.944,97.0061,125.05
52,762.585,102.395,135.02
53,746.726,107.746,145.528
54,730.421,113.012,156.567
55,713.729,118.146,168.126
56,696.714,123.096,180.19
57,679.447,127.815,192.737
58,662.001,132.255,205.743
59,644.451,136.371,219.178
60,626.873,140.122,233.005
61,609.341,143.471,247.189
62,591.927,146.387,261.685
63,574.703,148.847,276.451
64,557.731,150.83,291.439
65,541.072,152.327,306.601
66,524.78,153.333,321.888
67,508.901,153.849,337.251
68,493.475,153.884,352.641
69,478.535,153.453,368.012
70,464.109,152.574,383.317
71,450.217,151.271,398.513
72,436.871,149.571,413.558
73,424.081,147.504,428.415
74,411.85,145.103,443.048
75,400.176,142.399,457.425
76,389.053,139.428,471.519
77,378.474,136.223,485.303
78,368.426,132.817,498.756
79,358.896,129.243,511.861
80,349.867,125.533,524.601
81,341.322,121.714,536.964
82,333.243,117.816,548.941
83,325.611,113.864,560.525
84,318.406,109.881,571.713
85,311.61,105.889,582.501
86,305.201,101.908,592.891
87,299.162,97.9541,602.884
88,293.473,94.0434,612.483
89,288.116,90.1892,621.694
90,283.073,86.4031,630.523
91,278.327,82.695,638.978
92,273.862,79.0732,647.065
