Time,Susceptible,Infected,Recovered
0,999,1,0
1,998.79,1.10493,0.105159
2,998.558,1.22081,0.221349
3,998.301,1.34878,0.349722
4,998.018,1.49008,0.491548
5,997.706,1.64609,0.648227
6,997.36,1.81832,0.821305
7,996.979,2.00841,1.01248
8,996.558,2.2182,1.22364
9,996.093,2.4497,1.45685
10,995.581,2.70508,1.71437
11,995.014,2.98677,1.99873
12,994.39,3.29739,2.31269
13,993.701,3.63985,2.65927
14,992.941,4.01729,3.04182
15,992.103,4.43316,3.464
16,991.179,4.89122,3.92985
17,990.161,5.39556,4.44379
18,989.039,5.95063,5.01065
19,987.803,6.56126,5.63576
20,986.442,7.23268,6.32492
21,984.945,7.97052,7.0845
22,983.298,8.78088,7.92143
23,981.486,9.67028,8.8433
24,979.496,10.6457,9.85835
25,977.31,11.7147,10.9755
26,974.91,12.885,12.2046
27,972.279,14.1652,13.5562
28,969.394,15.564,15.0416
29,966.236,17.0906,16.6732
30,962.781,18.7545,18.4643
31,959.005,20.5656,20.429
32,954.884,22.5337,22.5826
33,950.39,24.669,24.9413
34,945.496,26.9812,27.5223
35,940.176,29.4801,30.3438
36,934.401,32.1747,33.4248
37,928.141,35.0734,36.7855
38,921.37,38.1834,40.4465
39,914.06,41.5108,44.4293
40,906.184,45.0596,48.756
41,897.719,48.832,53.4487
42,888.643,52.8275,58.5298
43,878.936,57.0427,64.0215
44,868.584,61.4709,69.9454
45,857.576,66.1014,76.3223
46,845.908,70.9198,83.1718
47,833.581,75.907,90.5118
48,820.602,81.0396,98.358
49,806.987,86.2894,106.724
50,792.758,91.6238,115.619
51,777.944,97.0057,125.05
52,762.586,102.394,135.02
53,746.727,107.745,145.527
54,730.422,113.012,156.566
55,713.73,118.145,168.125
56,696.715,123.096,180.189
57,679.449,127.815,192.736
58,662.003,132.255,205.742
59,644.453,136.371,219.176
60,626.875,140.121,233.004
61,609.342,143.47,247.187
62,591.929,146.387,261.684
63,574.705,148.846,276.449
64,557.733,150.83,291.437
65,541.075,152.327,306.599
66,524.782,153.332,321.886
67,508.903,153.848,337.249
68,493.477,153.884,352.639
69,478.538,153.452,368.01
70,464.112,152.574,383.315
71,450.219,151.271,398.51
72,436.874,149.571,413.555
73,424.084,147.504,428.412
74,411.852,145.103,443.045
75,400.178,142.399,457.422
76,389.056,139.428,471.516
77,378.477,136.223,485.3
78,368.429,132.818,498.753
79,358.898,129.244,511.858
80,349.869,125.533,524.598
81,341.324,121.715,536.961
82,333.245,117.817,548.938
83,325.613,113.865,560.522
84,318.409,109.882,571.71
85,311.612,105.89,582.498
86,305.204,101.909,592.888
87,299.164,97.9549,602.881
88,293.476,94.0443,612.48
89,288.119,90.1901,621.691
90,283.076,86.4041,630.52
91,278.329,82.6959,638.975
92,273.864,79.0741,647.062
