Time,Susceptible,Infected,Recovered
0,999,1,0
1,998.79,1.10492,0.105154
2,998.558,1.2208,0.221338
3,998.302,1.34876,0.349704
4,998.018,1.49006,0.491521
5,997.706,1.64606,0.64819
6,997.36,1.81827,0.821256
7,996.979,2.00835,1.01242
8,996.558,2.21813,1.22356
9,996.094,2.4496,1.45675
10,995.581,2.70496,1.71425
11,995.015,2.98662,1.99859
12,994.39,3.29722,2.31251
13,993.701,3.63964,2.65906
14,992.941,4.01704,3.04157
15,992.103,4.43287,3.46371
16,991.18,4.89088,3.92951
17,990.161,5.39517,4.44338
18,989.04,5.95017,5.01018
19,987.804,6.56073,5.63521
20,986.444,7.23206,6.32429
21,984.946,7.96982,7.08376
22,983.299,8.78007,7.92059
23,981.488,9.66935,8.84233
24,979.498,10.6447,9.85723
25,977.312,11.7135,10.9743
26,974.913,12.8837,12.2032
27,972.282,14.1637,13.5545
28,969.398,15.5623,15.0397
29,966.24,17.0886,16.6711
30,962.786,18.7523,18.4619
31,959.011,20.5631,20.4263
32,954.89,22.531,22.5795
33,950.396,24.6659,24.9379
34,945.504,26.9778,27.5184
35,940.184,29.4763,30.3394
36,934.41,32.1705,33.4199
37,928.151,35.0688,36.78
38,921.381,38.1785,40.4404
39,914.072,41.5054,44.4226
40,906.198,45.0538,48.7486
41,897.734,48.8258,53.4405
42,888.658,52.8208,58.5208
43,878.953,57.0356,64.0116
44,868.602,61.4633,69.9346
45,857.596,66.0934,76.3105
46,845.93,70.9114,83.159
47,833.604,75.8983,90.498
48,820.626,81.0307,98.3431
49,807.012,86.2803,106.707
50,792.784,91.6146,115.601
51,777.972,96.9966,125.031
52,762.614,102.385,135
53,746.757,107.736,145.507
54,730.452,113.003,156.544
55,713.761,118.137,168.102
56,696.747,123.088,180.165
57,679.48,127.808,192.712
58,662.034,132.249,205.717
59,644.484,136.365,219.15
60,626.906,140.117,232.977
61,609.373,143.467,247.16
62,591.959,146.385,261.656
63,574.734,148.845,276.421
64,557.761,150.83,291.409
65,541.101,152.328,306.571
66,524.808,153.334,321.858
67,508.927,153.851,337.221
68,493.5,153.888,352.612
69,478.559,153.457,367.983
70,464.132,152.579,383.289
71,450.238,151.277,398.485
72,436.891,149.578,413.531
73,424.099,147.512,428.389
74,411.866,145.111,443.023
75,400.191,142.408,457.401
76,389.067,139.437,471.496
77,378.487,136.232,485.281
78,368.438,132.827,498.736
79,358.906,129.253,511.841
80,349.876,125.542,524.582
81,341.33,121.724,536.946
82,333.25,117.826,548.925
83,325.617,113.873,560.51
84,318.411,109.89,571.699
85,311.614,105.898,582.488
86,305.205,101.916,592.879
87,299.165,97.9623,602.873
88,293.475,94.0513,612.473
89,288.118,90.1968,621.685
90,283.074,86.4104,630.515
91,278.328,82.7019,638.97
92,273.861,79.0798,647.059
93,269.659,75.5507,654.79
94,265.707,72.1203,662.173
95,261.989,68.7929,669.218
96,258.493,65.5718,675.935
97,255.205,62.459,682.336
98,252.113,59.4561,688.431
99,249.205,56.5636,694.231
100,246.471,53.7815,699.748
101,243.9,51.1091,704.991
102,241.481,48.5453,709.973
103,239.207,46.0885,714.704
104,237.069,43.7367,719.195
105,235.057,41.4877,723.455
106,233.165,39.339,727.496
107,231.386,37.2879,731.326
108,229.712,35.3315,734.957
109,228.137,33.4669,738.396
110,226.656,31.691,741.653
111,225.262,30.0007,744.737
112,223.951,28.3929,747.656
113,222.717,26.8645,750.419
114,221.556,25.4122,753.032
115,220.463,24.033,755.504
116,219.435,22.7239,757.841
117,218.467,21.4818,760.051
118,217.557,20.3037,762.14
119,216.699,19.1869,764.114
120,215.892,18.1285,765.979
121,215.133,17.1258,767.741
122,214.418,16.1761,769.406
123,213.745,15.277,770.978
124,213.111,14.426,772.463
125,212.514,13.6208,773.865
126,211.952,12.8589,775.189
127,211.423,12.1384,776.438
128,210.925,11.4571,777.618
129,210.456,10.8129,778.731
130,210.014,10.2041,779.782
131,209.598,9.62869,780.773
132,209.206,9.08501,781.709
133,208.837,8.57137,782.591
134,208.49,8.0862,783.424
135,208.163,7.62797,784.209
136,207.854,7.19526,784.95
137,207.564,6.78668,785.649
138,207.291,6.40094,786.308
139,207.033,6.03681,786.93
140,206.79,5.69311,787.517
141,206.562,5.36872,788.07
142,206.346,5.06259,788.591
143,206.144,4.77372,789.083
144,205.953,4.50115,789.546
145,205.773,4.24399,789.983
146,205.603,4.00138,790.396
147,205.443,3.77252,790.784
148,205.293,3.55663,791.151
149,205.151,3.353,791.496
150,205.018,3.16095,791.822
151,204.892,2.97981,792.128
152,204.773,2.80899,792.418
153,204.661,2.6479,792.691
154,204.556,2.49599,792.948
155,204.457,2.35275,793.19
156,204.364,2.21769,793.419
157,204.276,2.09034,793.634
158,204.193,1.97028,793.837
159,204.115,1.85707,794.028
160,204.041,1.75035,794.209
161,203.972,1.64974,794.379
162,203.906,1.55489,794.539
163,203.845,1.46547,794.69
164,203.787,1.38118,794.832
165,203.732,1.30172,794.966
166,203.681,1.22682,795.092
167,203.632,1.15622,795.212
168,203.586,1.08967,795.324
169,203.543,1.02694,795.43
170,203.503,0.967819,795.529
171,203.465,0.912091,795.623
172,203.429,0.859566,795.712
173,203.395,0.81006,795.795
174,203.363,0.7634,795.874
175,203.332,0.719423,795.948
176,203.304,0.677976,796.018
177,203.277,0.638913,796.084
178,203.252,0.602097,796.146
179,203.228,0.5674,796.204
180,203.206,0.5347,796.259
181,203.185,0.503883,796.311
182,203.165,0.47484,796.36
183,203.146,0.447469,796.406
184,203.129,0.421674,796.45
185,203.112,0.397365,796.491
186,203.096,0.374456,796.529
187,203.081,0.352866,796.566
188,203.068,0.332521,796.6
189,203.054,0.313348,796.632
190,203.042,0.295279,796.663
191,203.03,0.278252,796.691
192,203.019,0.262206,796.718
193,203.009,0.247085,796.744
194,202.999,0.232835,796.768
195,202.99,0.219407,796.79
196,202.982,0.206752,796.812
197,202.973,0.194828,796.832
198,202.966,0.183591,796.851
199,202.958,0.173001,796.869
