Time,Susceptible,Infected,Recovered
0,999,1,0
1,998.79,1.10493,0.105158
2,998.558,1.22081,0.221348
3,998.302,1.34878,0.34972
4,998.018,1.49008,0.491545
5,997.706,1.64609,0.648223
6,997.36,1.81831,0.821299
7,996.979,2.0084,1.01248
8,996.558,2.2182,1.22363
9,996.093,2.44968,1.45683
10,995.581,2.70507,1.71436
11,995.015,2.98675,1.99872
12,994.39,3.29737,2.31267
13,993.701,3.63982,2.65925
14,992.941,4.01726,3.04179
15,992.103,4.43312,3.46397
16,991.179,4.89118,3.92981
17,990.161,5.39551,4.44374
18,989.039,5.95058,5.01059
19,987.803,6.5612,5.63569
20,986.443,7.2326,6.32485
21,984.945,7.97044,7.08441
22,983.298,8.78078,7.92133
23,981.487,9.67017,8.84318
24,979.496,10.6456,9.85821
25,977.31,11.7145,10.9754
26,974.911,12.8849,12.2045
27,972.279,14.165,13.556
28,969.395,15.5638,15.0414
29,966.237,17.0903,16.673
30,962.782,18.7542,18.464
31,959.006,20.5653,20.4287
32,954.884,22.5334,22.5823
33,950.391,24.6686,24.9409
34,945.497,26.9808,27.5218
35,940.177,29.4796,30.3432
36,934.402,32.1741,33.4242
37,928.142,35.0728,36.7848
38,921.372,38.1828,40.4457
39,914.061,41.5101,44.4285
40,906.186,45.0589,48.755
41,897.721,48.8312,53.4476
42,888.645,52.8266,58.5286
43,878.938,57.0418,64.0202
44,868.586,61.4698,69.944
45,857.579,66.1003,76.3208
46,845.911,70.9186,83.1701
47,833.584,75.9057,90.51
48,820.606,81.0383,98.356
49,806.991,86.288,106.721
50,792.761,91.6224,115.616
51,777.948,97.0043,125.047
52,762.59,102.393,135.017
53,746.732,107.744,145.524
54,730.427,113.01,156.563
55,713.735,118.144,168.122
56,696.72,123.094,180.185
57,679.454,127.813,192.733
58,662.008,132.253,205.738
59,644.458,136.369,219.172
60,626.88,140.12,233
61,609.348,143.469,247.183
62,591.935,146.386,261.679
63,574.71,148.845,276.444
64,557.739,150.829,291.432
65,541.08,152.326,306.594
66,524.788,153.332,321.88
67,508.908,153.848,337.243
68,493.482,153.884,352.634
69,478.543,153.453,368.004
70,464.117,152.574,383.309
71,450.224,151.271,398.505
72,436.879,149.572,413.55
73,424.088,147.505,428.406
74,411.857,145.104,443.039
75,400.183,142.401,457.417
76,389.06,139.43,471.51
77,378.481,136.225,485.295
78,368.433,132.819,498.748
79,358.902,129.245,511.853
80,349.873,125.535,524.592
81,341.328,121.717,536.956
82,333.249,117.818,548.933
83,325.616,113.866,560.517
84,318.412,109.884,571.705
85,311.615,105.892,582.494
86,305.206,101.91,592.883
87,299.167,97.9567,602.876
88,293.478,94.046,612.476
89,288.121,90.1919,621.687
90,283.078,86.4058,630.516
91,278.332,82.6976,638.971
92,273.866,79.0758,647.059
93,269.664,75.5471,654.789
94,265.712,72.117,662.171
95,261.994,68.7899,669.216
96,258.498,65.569,675.933
97,255.211,62.4566,682.333
98,252.119,59.4539,688.427
99,249.211,56.5617,694.227
100,246.477,53.7798,699.743
